State,price_per_g,price
Alaska,84.81130887524998,54.5178898007034
Arizona,53.329453621346886,39.5223252858958
Arkansas,66.38716992183555,39.85265940902021
California,279.4320640776538,33.669427252985884
Colorado,86.88001824018805,33.37455410821643
Connecticut,93.84962406015038,51.70676691729323
Florida,620.8027497635431,51.6592966442953
Hawaii,87.63218390804599,72.20689655172414
Illinois,92.50225724357594,56.352690569448626
Maine,661.121516218419,34.78052811735941
Maryland,77.77209511042288,45.01021403413709
Massachusetts,65.74302424511795,40.63745730550284
Michigan,26.949722219908136,19.22191934279313
Mississippi,64.63328761904762,44.6392
Missouri,85.36621530017858,55.524192224622034
Montana,58.40304182509506,35.002851711026615
Nevada,81.44977890241648,38.36191169091821
New Hampshire,90.0,48.75
New Jersey,90.34077544518405,65.38467144563919
New Mexico,77.34969916096628,39.442658585187644
New York,173.01627700172125,57.867193675889325
North Dakota,82.29295774647888,52.9774647887324
Ohio,28.514861878387272,40.415010845986984
Oklahoma,34.67670778200209,19.770898645172355
Oregon,28.829784301977234,27.29197124026363
South Dakota,85.50043010752688,49.55118279569893
Vermont,91.55,62.85
Virginia,77.97474747474747,49.121212121212125
Washington,42.55938014650054,37.19093258668964
