State,price_per_g
Alaska,24.476432804851743
Arizona,15.944614893794583
California,13.942994249425949
Colorado,9.854818011543157
Florida,16.527012987012988
Illinois,23.273317500299868
Maine,13.946877350583604
Maryland,15.525690508837569
Massachusetts,13.467195221095922
Michigan,12.186806631423124
Mississippi,16.828351031583065
Missouri,18.52514172001083
Montana,12.288022608235455
Nevada,16.758150282514304
New Hampshire,13.333333333333336
New Jersey,17.995586930288685
New Mexico,12.989017503928839
New York,20.31471133243527
Oklahoma,7.782359132157981
Oregon,9.314617122966263
Rhode Island,12.412273641851106
South Dakota,14.569858854786125
Vermont,260.96469406244506
Washington,9.023914379751567
